,importance,stddev,p_value,n,p99_high,p99_low
Warehouse_ID,0.7701167732153753,0.017277860506914433,3.038248965583414e-08,5,0.8056921268040131,0.7345414196267375
Warehouse_Type,0.15329214647247444,0.00308564773739491,1.969030366361109e-08,5,0.1596455378118636,0.14693875513308527
Warehouse_Area_sq_m,0.013538025137945775,0.0006551751250966462,6.561975246438098e-07,5,0.014887039775983022,0.012189010499908528
HVAC_Operating_Hours,0.010575165285004195,0.0003239440136352059,1.0552837715877485e-07,5,0.01124217048645162,0.00990816008355677
Total_Cargo_Weight_kg,0.0020500043101742806,0.00017841680446473537,6.81603318234724e-06,5,0.002417366976544212,0.0016826416438043492
Equipment_Utilization_Percentage,0.0013929150088965113,9.264205897717244e-05,2.334309442454827e-06,5,0.0015836662887771084,0.0012021637290159143
Temperature_C,0.0013577732112363794,3.868272429649057e-05,7.897154840400737e-08,5,0.001437421475213781,0.0012781249472589777
Warehouse_Occupancy_Percentage,0.0012738440432759957,7.282420959198742e-05,1.27623062604664e-06,5,0.0014237900973612936,0.0011238979891906979
Forklift_Operating_Hours,0.0007938815649604525,9.324788691080434e-05,2.242680327118409e-05,5,0.0009858802529298118,0.0006018828769910933
Conveyor_Operating_Hours,0.0007293277773128048,3.69749260822461e-05,7.900101015695919e-07,5,0.0008054596611628477,0.000653195893462762
Total_Cargo_Volume_m3,0.000538227998752272,8.011745653745608e-05,5.721394731096981e-05,5,0.0007031909491014602,0.00037326504840308385
Total_Shipments,0.0005014801411524106,6.158728779025347e-05,2.6757591222589096e-05,5,0.0006282892179375051,0.0003746710643673161
Staff_Count,0.00028320244931003826,7.991001122140922e-05,0.000686192303192854,5,0.00044773826688629306,0.00011866663173378344
Weather_Condition,0.0002104339693413948,2.4081298806310074e-05,2.022516697203055e-05,5,0.0002600176964217981,0.00016085024226099152
Number_of_Flights,4.9664703904195305e-05,2.625799696256043e-05,0.006688629784354952,5,0.00010373028257341959,-4.400874765028987e-06
Peak_Season,4.194631892517897e-06,3.31656750586688e-06,0.02371894255777711,5,1.1023490226834423e-05,-2.634226441798629e-06
Humidity_Percentage,3.318569049914899e-06,1.9681237702562373e-05,0.3626481302446802,5,4.3842509502523984e-05,-3.720537140269418e-05
Operation_Date,2.443382157069074e-06,5.322032048916081e-06,0.18131728505662661,5,1.3401519703930447e-05,-8.5147553897923e-06
Quarter,3.216974997499733e-07,2.5271594122992423e-07,0.02328187538990915,5,8.420431156404408e-07,-1.9864811614049422e-07
Year,0.0,0.0,0.5,5,0.0,0.0
Month,-5.984491889599042e-07,1.973152907821378e-06,0.7325714220683966,5,3.4642999200575493e-06,-4.661198297977358e-06
Weekend,-2.976336038940097e-06,2.44018127923524e-06,0.9737074455981415,5,2.0480309418228066e-06,-8.000703019703e-06
Day_of_Week,-8.698150788455371e-06,4.638047331040657e-06,0.9931161819310742,5,8.516527706472105e-07,-1.8247954347557953e-05
Staff_Availability_Percentage,-1.072398980199729e-05,5.208910805680081e-06,0.994998012233131,5,1.2295415427562606e-09,-2.144920914553734e-05
