Operation_Date,Year,Month,Quarter,Day_of_Week,Weekend,Peak_Season,Warehouse_ID,Warehouse_Type,Warehouse_Area_sq_m,Temperature_C,Humidity_Percentage,Weather_Condition,Warehouse_Occupancy_Percentage,Total_Shipments,Total_Cargo_Weight_kg,Total_Cargo_Volume_m3,Number_of_Flights,Forklift_Operating_Hours,Conveyor_Operating_Hours,HVAC_Operating_Hours,Equipment_Utilization_Percentage,Staff_Count,Staff_Availability_Percentage,Energy_Consumption_kWh
2022-01-01,2022,1,1,Saturday,Yes,No,CW001,Cold,13828,27.7,74,Rain,69,135,14498.2,56.48,6,4.3,1.5,10.3,42.7,38,88.5,176.36
2022-01-01,2022,1,1,Saturday,Yes,No,WH006,General,20006,27.7,74,Rain,70,206,21319.02,120.45,8,6.7,3.4,1.8,54.4,49,96.3,81.2
2022-01-01,2022,1,1,Saturday,Yes,No,WH005,General,20253,27.7,74,Rain,61,225,21626.76,101.26,11,6.4,3.9,2.2,56.7,52,93.5,78.75
2022-01-01,2022,1,1,Saturday,Yes,No,WH004,General,24074,27.7,74,Rain,79,210,22487.14,96.54,8,7.2,3.6,1.7,66.2,58,98.8,86.7
2022-01-01,2022,1,1,Saturday,Yes,No,WH002,General,18912,27.7,74,Rain,87,215,23101.71,104.25,9,7.0,3.8,1.8,70.0,54,94.8,82.45
2022-01-01,2022,1,1,Saturday,Yes,No,WH001,General,23238,27.7,74,Rain,95,263,22618.11,127.42,14,7.8,4.3,2.2,75.3,53,85.4,82.54
2022-01-01,2022,1,1,Saturday,Yes,No,WH003,General,18204,27.7,74,Rain,64,200,24657.7,134.26,12,6.2,3.4,1.8,50.0,62,92.5,86.82
2022-01-01,2022,1,1,Saturday,Yes,No,LA001,Live Animal,11771,27.7,74,Rain,70,24,845.38,14.67,1,1.9,0.0,2.3,30.1,16,91.8,127.21
2022-01-01,2022,1,1,Saturday,Yes,No,EX001,Express,14467,27.7,74,Rain,83,252,3425.13,35.36,10,7.9,8.2,2.0,79.1,43,86.8,117.0
2022-01-01,2022,1,1,Saturday,Yes,No,DG001,Dangerous Goods,11016,27.7,74,Rain,78,69,5096.09,13.52,2,3.4,0.3,2.5,39.6,20,94.5,109.97
2022-01-01,2022,1,1,Saturday,Yes,No,CW002,Cold,13143,27.7,74,Rain,81,232,22628.72,78.09,11,6.6,2.9,9.6,64.5,43,87.1,177.57
2022-01-01,2022,1,1,Saturday,Yes,No,VW001,Valuable,4419,27.7,74,Rain,37,20,122.31,0.85,1,0.6,0.4,1.3,20.3,10,97.2,64.14
2022-01-02,2022,1,1,Sunday,No,No,WH002,General,18912,24.2,69,Sunny,83,345,35555.51,203.42,21,9.4,6.2,1.7,74.5,78,85.8,83.09
2022-01-02,2022,1,1,Sunday,No,No,WH006,General,20006,24.2,69,Sunny,89,217,26855.89,110.68,12,6.8,3.8,1.7,63.0,61,85.0,83.74
2022-01-02,2022,1,1,Sunday,No,No,WH005,General,20253,24.2,69,Sunny,61,197,18254.73,89.65,11,6.1,3.3,1.7,52.2,65,86.4,82.88
2022-01-02,2022,1,1,Sunday,No,No,WH004,General,24074,24.2,69,Sunny,67,182,16175.66,83.77,8,5.9,3.6,1.6,56.4,48,90.6,79.61
2022-01-02,2022,1,1,Sunday,No,No,WH003,General,18204,24.2,69,Sunny,57,200,17566.86,101.07,8,6.1,3.6,2.2,52.4,55,96.0,84.39
2022-01-02,2022,1,1,Sunday,No,No,WH001,General,23238,24.2,69,Sunny,90,266,25430.2,107.19,12,8.6,5.2,2.3,79.0,64,98.9,87.53
2022-01-02,2022,1,1,Sunday,No,No,DG001,Dangerous Goods,11016,24.2,69,Sunny,71,52,3804.15,12.35,3,2.4,0.3,2.0,34.9,23,88.3,106.84
2022-01-02,2022,1,1,Sunday,No,No,LA001,Live Animal,11771,24.2,69,Sunny,34,17,443.82,6.91,1,1.4,0.0,2.2,23.7,21,92.4,130.28
2022-01-02,2022,1,1,Sunday,No,No,EX001,Express,14467,24.2,69,Sunny,95,286,6857.23,78.59,16,8.2,10.2,2.2,83.6,47,95.0,117.71
2022-01-02,2022,1,1,Sunday,No,No,CW002,Cold,13143,24.2,69,Sunny,95,233,25066.52,99.03,15,7.5,2.3,8.9,71.7,47,90.7,187.88
2022-01-02,2022,1,1,Sunday,No,No,CW001,Cold,13828,24.2,69,Sunny,94,195,18074.59,61.12,8,6.4,2.2,8.9,60.9,39,95.5,176.34
2022-01-02,2022,1,1,Sunday,No,No,VW001,Valuable,4419,24.2,69,Sunny,62,32,306.31,1.59,2,1.4,0.3,1.2,30.9,14,86.9,66.7
2022-01-03,2022,1,1,Monday,No,No,WH002,General,18912,24.8,63,Sunny,83,319,34272.17,212.62,18,9.1,6.0,2.1,73.6,65,90.1,91.42
2022-01-03,2022,1,1,Monday,No,No,WH006,General,20006,24.8,63,Sunny,72,258,28550.09,150.29,11,7.4,4.1,2.4,64.2,60,85.5,85.29
2022-01-03,2022,1,1,Monday,No,No,WH005,General,20253,24.8,63,Sunny,57,228,21408.6,92.41,10,6.5,4.4,2.4,56.1,62,89.6,85.87
2022-01-03,2022,1,1,Monday,No,No,WH004,General,24074,24.8,63,Sunny,66,250,21497.86,96.12,12,7.6,4.4,2.2,59.7,56,96.0,79.19
2022-01-03,2022,1,1,Monday,No,No,WH001,General,23238,24.8,63,Sunny,95,312,32827.51,187.47,20,8.7,5.5,1.8,82.5,75,98.7,84.15
2022-01-03,2022,1,1,Monday,No,No,WH003,General,18204,24.8,63,Sunny,57,205,19147.63,109.44,12,6.1,3.7,2.4,54.3,55,97.1,86.41
2022-01-03,2022,1,1,Monday,No,No,LA001,Live Animal,11771,24.8,63,Sunny,42,7,144.27,2.32,1,1.1,0.0,2.3,24.8,19,87.7,130.48
2022-01-03,2022,1,1,Monday,No,No,EX001,Express,14467,24.8,63,Sunny,91,305,4166.23,33.09,20,9.1,10.8,2.4,85.7,53,91.5,121.15
2022-01-03,2022,1,1,Monday,No,No,VW001,Valuable,4419,24.8,63,Sunny,48,21,212.35,1.18,1,1.5,0.2,1.3,21.1,12,94.4,64.53
2022-01-03,2022,1,1,Monday,No,No,DG001,Dangerous Goods,11016,24.8,63,Sunny,78,90,7750.1,18.32,4,3.3,0.5,1.8,47.3,30,94.2,109.98
2022-01-03,2022,1,1,Monday,No,No,CW002,Cold,13143,24.8,63,Sunny,86,228,20387.18,71.58,12,6.8,2.6,9.2,64.8,46,90.9,185.62
2022-01-03,2022,1,1,Monday,No,No,CW001,Cold,13828,24.8,63,Sunny,87,247,25587.43,105.02,10,6.8,3.0,9.1,64.7,47,90.1,178.3
2022-01-04,2022,1,1,Tuesday,No,No,WH005,General,20253,29.7,48,Dust Storm,81,342,39296.01,192.05,14,9.9,6.1,4.3,78.6,69,95.1,92.76
2022-01-04,2022,1,1,Tuesday,No,No,WH004,General,24074,29.7,48,Dust Storm,81,210,19587.41,102.01,8,7.3,3.3,4.9,65.0,60,89.2,83.82
2022-01-04,2022,1,1,Tuesday,No,No,WH003,General,18204,29.7,48,Dust Storm,73,233,22337.38,122.75,10,6.7,3.8,4.4,57.8,63,90.7,84.92
2022-01-04,2022,1,1,Tuesday,No,No,WH002,General,18912,29.7,48,Dust Storm,83,243,27883.33,141.2,12,7.8,4.7,4.3,70.1,58,88.8,82.39
2022-01-04,2022,1,1,Tuesday,No,No,WH001,General,23238,29.7,48,Dust Storm,62,244,22041.39,112.19,10,7.6,4.4,5.0,61.8,67,91.0,88.6
2022-01-04,2022,1,1,Tuesday,No,No,WH006,General,20006,29.7,48,Dust Storm,63,265,22810.84,120.44,11,7.7,4.3,4.4,58.1,60,90.3,81.74
2022-01-04,2022,1,1,Tuesday,No,No,LA001,Live Animal,11771,29.7,48,Dust Storm,53,8,261.19,3.89,1,1.5,0.0,4.1,28.2,17,94.9,131.2
2022-01-04,2022,1,1,Tuesday,No,No,EX001,Express,14467,29.7,48,Dust Storm,93,271,5213.68,36.11,12,8.0,9.6,4.6,80.7,44,88.9,121.28
2022-01-04,2022,1,1,Tuesday,No,No,DG001,Dangerous Goods,11016,29.7,48,Dust Storm,45,46,3417.34,7.6,2,2.1,0.1,4.3,30.3,27,94.5,112.21
2022-01-04,2022,1,1,Tuesday,No,No,CW002,Cold,13143,29.7,48,Dust Storm,67,192,15538.73,69.14,12,5.8,2.0,10.3,56.4,51,94.8,181.35
2022-01-04,2022,1,1,Tuesday,No,No,CW001,Cold,13828,29.7,48,Dust Storm,85,184,18921.99,79.53,8,5.6,1.8,9.9,63.0,48,88.1,176.92
2022-01-04,2022,1,1,Tuesday,No,No,VW001,Valuable,4419,29.7,48,Dust Storm,45,19,109.44,0.65,1,1.0,0.4,2.6,25.5,9,89.9,67.71
2022-01-05,2022,1,1,Wednesday,No,No,WH006,General,20006,30.4,42,Dust Storm,61,148,15978.46,81.13,6,5.0,3.1,4.5,44.5,46,90.6,78.62
2022-01-05,2022,1,1,Wednesday,No,No,WH005,General,20253,30.4,42,Dust Storm,67,227,21360.55,127.19,15,7.1,3.7,4.3,57.5,54,93.9,87.4
2022-01-05,2022,1,1,Wednesday,No,No,WH004,General,24074,30.4,42,Dust Storm,67,232,20829.47,102.31,13,6.7,4.4,4.5,61.9,69,89.0,81.02
2022-01-05,2022,1,1,Wednesday,No,No,WH003,General,18204,30.4,42,Dust Storm,70,240,26774.02,143.25,10,7.2,4.2,5.0,64.0,59,89.3,83.5
2022-01-05,2022,1,1,Wednesday,No,No,WH002,General,18912,30.4,42,Dust Storm,67,179,16943.11,88.87,7,6.2,3.4,4.9,58.6,48,89.1,83.0
2022-01-05,2022,1,1,Wednesday,No,No,WH001,General,23238,30.4,42,Dust Storm,84,310,30521.32,153.04,15,8.6,5.2,5.0,78.3,63,92.8,89.03
2022-01-05,2022,1,1,Wednesday,No,No,VW001,Valuable,4419,30.4,42,Dust Storm,36,28,305.14,1.69,1,1.2,0.3,2.9,22.7,10,85.8,72.58
2022-01-05,2022,1,1,Wednesday,No,No,EX001,Express,14467,30.4,42,Dust Storm,62,214,4497.85,36.79,14,5.9,7.8,5.1,64.4,49,96.5,119.01
2022-01-05,2022,1,1,Wednesday,No,No,DG001,Dangerous Goods,11016,30.4,42,Dust Storm,50,34,2450.71,7.4,1,1.6,0.2,4.5,28.4,24,86.0,106.4
2022-01-05,2022,1,1,Wednesday,No,No,CW002,Cold,13143,30.4,42,Dust Storm,93,195,20631.97,69.0,10,6.3,1.9,10.9,66.6,44,88.7,181.45
2022-01-05,2022,1,1,Wednesday,No,No,CW001,Cold,13828,30.4,42,Dust Storm,68,126,10643.97,41.53,6,4.0,1.2,10.5,45.2,40,95.9,176.51
2022-01-05,2022,1,1,Wednesday,No,No,LA001,Live Animal,11771,30.4,42,Dust Storm,68,29,1177.57,12.26,1,1.6,0.0,4.9,37.6,19,92.6,134.85
2022-01-06,2022,1,1,Thursday,No,No,WH002,General,18912,30.5,48,Dust Storm,61,179,17576.39,80.12,9,6.0,3.1,5.0,47.9,54,89.5,88.31
