Operation_Date,Year,Month,Quarter,Day_of_Week,Weekend,Peak_Season,Warehouse_ID,Warehouse_Type,Warehouse_Area_sq_m,Temperature_C,Humidity_Percentage,Weather_Condition,Warehouse_Occupancy_Percentage,Total_Shipments,Total_Cargo_Weight_kg,Total_Cargo_Volume_m3,Number_of_Flights,Forklift_Operating_Hours,Conveyor_Operating_Hours,HVAC_Operating_Hours,Lighting_Operating_Hours,Equipment_Utilization_Percentage,Staff_Count,Staff_Availability_Percentage,Energy_Consumption_kWh
2022-01-01,2022,1,1,Saturday,Yes,No,CW001,Cold,13828,27.7,74,Rain,69,135,14498.2,56.48,6,4.3,1.5,10.3,24.0,42.7,38,88.5,176.36
2022-01-01,2022,1,1,Saturday,Yes,No,CW002,Cold,13143,27.7,74,Rain,81,232,22628.72,78.09,11,6.6,2.9,9.6,24.0,64.5,43,87.1,177.57
2022-01-01,2022,1,1,Saturday,Yes,No,DG001,Dangerous Goods,11016,27.7,74,Rain,78,69,5096.09,13.52,2,3.4,0.3,2.5,24.0,39.6,20,94.5,109.97
2022-01-01,2022,1,1,Saturday,Yes,No,EX001,Express,14467,27.7,74,Rain,83,252,3425.13,35.36,10,7.9,8.2,2.0,24.0,79.1,43,86.8,117.0
2022-01-01,2022,1,1,Saturday,Yes,No,LA001,Live Animal,11771,27.7,74,Rain,70,24,845.38,14.67,1,1.9,0.0,2.3,24.0,30.1,16,91.8,127.21
2022-01-01,2022,1,1,Saturday,Yes,No,VW001,Valuable,4419,27.7,74,Rain,37,20,122.31,0.85,1,0.6,0.4,1.3,24.0,20.3,10,97.2,64.14
2022-01-01,2022,1,1,Saturday,Yes,No,WH001,General,23238,27.7,74,Rain,95,263,22618.11,127.42,14,7.8,4.3,2.2,24.0,75.3,53,85.4,82.54
2022-01-01,2022,1,1,Saturday,Yes,No,WH002,General,18912,27.7,74,Rain,87,215,23101.71,104.25,9,7.0,3.8,1.8,24.0,70.0,54,94.8,82.45
2022-01-01,2022,1,1,Saturday,Yes,No,WH003,General,18204,27.7,74,Rain,64,200,24657.7,134.26,12,6.2,3.4,1.8,24.0,50.0,62,92.5,86.82
2022-01-01,2022,1,1,Saturday,Yes,No,WH004,General,24074,27.7,74,Rain,79,210,22487.14,96.54,8,7.2,3.6,1.7,24.0,66.2,58,98.8,86.7
